DateTime,Sensor_id,Vendor,SensorModel,LAT,LONG,Zone,Pm1_0,Pm2_5,Pm10,SO2,O3,CO,NO2,AlertTriggered,SensorStatus
2021-05-16T03:04:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T03:07:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T03:10:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T03:13:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T03:16:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T03:19:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T03:22:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T03:25:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T03:28:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T03:31:31,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T03:34:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T03:37:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T03:40:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T03:43:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T03:46:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
2021-05-16T03:49:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,7,7,10,0,0,0,0,None,Normal
